simulated_k54_l200_18,simulated_k54_l200_22,simulated_k54_l200_24,simulated_k54_l200_28,simulated_k54_l200_30,simulated_k54_l200_32,simulated_k54_l200_42,simulated_k54_l200_44,simulated_k54_l200_46,simulated_k54_l200_48,simulated_k54_l200_52,simulated_k54_l200_54,simulated_k54_l200_55,simulated_k54_l200_56,simulated_k54_l200_58,simulated_k54_l200_62,simulated_k54_l200_63,simulated_k54_l200_64,simulated_k54_l200_65,simulated_k54_l200_66,simulated_k54_l200_68,simulated_k54_l200_69,simulated_k54_l200_70,simulated_k54_l200_71,simulated_k54_l200_72,simulated_k54_l200_74,simulated_k54_l200_76,simulated_k54_l200_78,simulated_k54_l200_79,simulated_k54_l200_80,simulated_k54_l200_81,simulated_k54_l200_82,simulated_k54_l200_84,simulated_k54_l200_85,simulated_k54_l200_86,simulated_k54_l200_87,simulated_k54_l200_88,simulated_k54_l200_89,simulated_k54_l200_90,simulated_k54_l200_91,simulated_k54_l200_92,simulated_k54_l200_93,simulated_k54_l200_94,simulated_k54_l200_95,simulated_k54_l200_96,simulated_k54_l200_97,simulated_k54_l200_98,simulated_k54_l200_99,simulated_k54_l200_100,simulated_k54_l200_102,simulated_k54_l200_103,simulated_k54_l200_104,simulated_k54_l200_105,simulated_k54_l200_106,MST_1,MST_2,MST_3,MST_4,MST_5,MST_6,MST_7,MST_8,MST_9,MST_10,MST_11,MST_12,MST_13,MST_14,MST_15,MST_16,MST_17,MST_18,MST_19,MST_20,MST_21,MST_22,MST_23,MST_24,MST_25,MST_26,MST_27,MST_28,MST_29,MST_30,MST_31,MST_32,MST_33,MST_34,MST_35,MST_36,MST_37,MST_38,MST_39,MST_40,MST_41,MST_42,MST_43,MST_44,MST_45,MST_46,MST_47,MST_48,MST_49,MST_50,MST_51,MST_52,MST_53,MST_54,MST_55,MST_56,SEQ_0,SEQ_1,SEQ_2,SEQ_3,SEQ_4,SEQ_5,SEQ_6,SEQ_7,SEQ_8,SEQ_9,SEQ_10,SEQ_11,SEQ_12,SEQ_13,SEQ_14,SEQ_15,SEQ_16,SEQ_17,SEQ_18,SEQ_19,SEQ_20,SEQ_21,SEQ_22,SEQ_23,SEQ_24,SEQ_25,SEQ_26,SEQ_27,SEQ_28,SEQ_29,SEQ_30,SEQ_31,SEQ_32,SEQ_33,SEQ_34,SEQ_35,SEQ_36,SEQ_37,SEQ_38,SEQ_39,SEQ_40,SEQ_41,SEQ_42,SEQ_43,SEQ_44,SEQ_45,SEQ_46,SEQ_47,SEQ_48,SEQ_49,SEQ_50,SEQ_51,SEQ_52,SEQ_53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,29.0,7.0,6.0,26.0,27.0,20.0,21.0,22.0,25.0,24.0,23.0,29.0,29.0,21.0,21.0,25.0,22.0,21.0,20.0,19.0,22.0,23.0,63.0,29.0,16.0,72.0,62.0,47.0,37.0,33.0,30.0,27.0,26.0,25.0,21.0,18.0,18.0,17.0,14.0,14.0,15.0,13.0,12.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,58.0,51.0,83.0,77.0,63.0,51.0,38.0,34.0,30.0,27.0,26.0,25.0,25.0,18.0,18.0,17.0,14.0,14.0,15.0,13.0,12.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,34.0,33.0,3.0,4.0,27.0,28.0,31.0,34.0,23.0,22.0,20.0,20.0,30.0,30.0,32.0,29.0,30.0,15.0,14.0,31.0,32.0,64.0,28.0,17.0,73.0,64.0,53.0,47.0,41.0,42.0,38.0,31.0,28.0,26.0,23.0,23.0,22.0,23.0,21.0,20.0,20.0,21.0,20.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,56.0,48.0,81.0,76.0,66.0,58.0,45.0,42.0,42.0,38.0,33.0,28.0,30.0,23.0,23.0,22.0,23.0,21.0,20.0,20.0,21.0,21.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,31.0,32.0,25.0,26.0,27.0,30.0,28.0,27.0,32.0,32.0,26.0,26.0,28.0,25.0,26.0,25.0,24.0,27.0,28.0,62.0,32.0,21.0,69.0,61.0,48.0,38.0,36.0,33.0,31.0,30.0,29.0,26.0,23.0,23.0,22.0,19.0,19.0,20.0,18.0,17.0,16.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,60.0,50.0,82.0,74.0,62.0,53.0,39.0,35.0,33.0,31.0,30.0,29.0,29.0,23.0,23.0,22.0,19.0,19.0,20.0,18.0,17.0,17.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0,31.0,24.0,25.0,26.0,29.0,27.0,26.0,31.0,31.0,25.0,25.0,27.0,24.0,25.0,24.0,23.0,26.0,27.0,62.0,31.0,20.0,69.0,61.0,48.0,38.0,36.0,33.0,31.0,30.0,29.0,25.0,22.0,22.0,21.0,18.0,18.0,19.0,17.0,16.0,15.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,60.0,51.0,82.0,74.0,62.0,53.0,39.0,35.0,33.0,31.0,30.0,29.0,29.0,22.0,22.0,21.0,18.0,18.0,19.0,17.0,16.0,16.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,24.0,25.0,28.0,31.0,20.0,19.0,19.0,19.0,27.0,27.0,29.0,26.0,27.0,12.0,11.0,28.0,29.0,64.0,27.0,14.0,73.0,63.0,52.0,46.0,40.0,39.0,35.0,28.0,25.0,23.0,20.0,20.0,19.0,20.0,18.0,17.0,17.0,18.0,17.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,55.0,50.0,82.0,76.0,65.0,58.0,44.0,41.0,39.0,35.0,30.0,25.0,27.0,20.0,20.0,19.0,20.0,18.0,17.0,17.0,18.0,18.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.0,26.0,29.0,32.0,21.0,20.0,20.0,20.0,28.0,28.0,30.0,27.0,28.0,13.0,12.0,29.0,30.0,64.0,28.0,15.0,74.0,64.0,53.0,47.0,41.0,40.0,36.0,29.0,26.0,24.0,21.0,21.0,20.0,21.0,19.0,18.0,18.0,19.0,18.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,56.0,50.0,81.0,77.0,66.0,59.0,45.0,42.0,40.0,36.0,31.0,26.0,28.0,21.0,21.0,20.0,21.0,19.0,18.0,18.0,19.0,19.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,24.0,27.0,22.0,21.0,27.0,27.0,23.0,23.0,15.0,12.0,23.0,20.0,19.0,24.0,25.0,63.0,23.0,14.0,71.0,61.0,49.0,43.0,39.0,36.0,31.0,26.0,23.0,25.0,22.0,22.0,21.0,18.0,16.0,17.0,15.0,14.0,13.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,55.0,49.0,83.0,75.0,63.0,53.0,42.0,40.0,36.0,31.0,28.0,23.0,21.0,22.0,22.0,21.0,18.0,16.0,17.0,15.0,14.0,14.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.0,28.0,23.0,22.0,28.0,28.0,24.0,24.0,14.0,13.0,24.0,21.0,20.0,25.0,26.0,62.0,24.0,15.0,70.0,62.0,50.0,44.0,40.0,37.0,32.0,27.0,24.0,26.0,23.0,23.0,22.0,19.0,17.0,18.0,16.0,15.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,56.0,48.0,82.0,74.0,64.0,54.0,43.0,41.0,37.0,32.0,29.0,24.0,22.0,23.0,23.0,22.0,19.0,17.0,18.0,16.0,15.0,15.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,28.0,27.0,27.0,27.0,15.0,15.0,29.0,26.0,9.0,22.0,21.0,10.0,11.0,63.0,29.0,18.0,70.0,63.0,49.0,43.0,35.0,32.0,31.0,26.0,25.0,19.0,20.0,20.0,21.0,18.0,16.0,15.0,15.0,14.0,13.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,62.0,54.0,82.0,71.0,63.0,54.0,42.0,36.0,32.0,31.0,28.0,25.0,23.0,20.0,20.0,22.0,18.0,16.0,15.0,15.0,14.0,14.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,31.0,30.0,30.0,30.0,18.0,18.0,32.0,29.0,12.0,25.0,24.0,13.0,14.0,62.0,32.0,21.0,71.0,63.0,51.0,45.0,37.0,34.0,33.0,28.0,27.0,21.0,22.0,21.0,22.0,21.0,19.0,18.0,18.0,17.0,16.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,63.0,55.0,82.0,72.0,62.0,56.0,44.0,38.0,34.0,33.0,30.0,27.0,25.0,22.0,21.0,23.0,21.0,19.0,18.0,18.0,17.0,17.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,27.0,27.0,26.0,26.0,27.0,24.0,27.0,20.0,19.0,28.0,29.0,64.0,26.0,14.0,76.0,63.0,50.0,44.0,42.0,37.0,35.0,30.0,29.0,23.0,23.0,22.0,21.0,20.0,18.0,19.0,18.0,17.0,17.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,55.0,49.0,84.0,79.0,65.0,56.0,44.0,43.0,37.0,35.0,32.0,29.0,28.0,23.0,22.0,21.0,20.0,18.0,19.0,18.0,17.0,17.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.0,26.0,26.0,26.0,28.0,25.0,26.0,19.0,18.0,27.0,28.0,64.0,25.0,13.0,76.0,64.0,51.0,45.0,43.0,38.0,36.0,31.0,30.0,24.0,23.0,23.0,22.0,19.0,17.0,18.0,17.0,16.0,16.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,55.0,50.0,84.0,79.0,66.0,57.0,45.0,44.0,38.0,36.0,33.0,30.0,28.0,23.0,23.0,22.0,19.0,17.0,18.0,17.0,16.0,16.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26.0,26.0,30.0,27.0,26.0,13.0,12.0,27.0,28.0,65.0,29.0,17.0,71.0,68.0,55.0,48.0,44.0,43.0,38.0,31.0,28.0,22.0,19.0,19.0,21.0,21.0,19.0,18.0,20.0,21.0,20.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,52.0,51.0,84.0,74.0,69.0,60.0,47.0,43.0,43.0,38.0,33.0,28.0,26.0,19.0,20.0,21.0,21.0,19.0,18.0,20.0,21.0,21.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.0,26.0,30.0,27.0,26.0,13.0,12.0,27.0,28.0,65.0,29.0,17.0,71.0,68.0,55.0,48.0,44.0,43.0,38.0,31.0,28.0,22.0,19.0,19.0,21.0,21.0,19.0,18.0,20.0,21.0,20.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,52.0,51.0,84.0,74.0,69.0,60.0,47.0,43.0,43.0,38.0,33.0,28.0,26.0,19.0,20.0,21.0,21.0,19.0,18.0,20.0,21.0,21.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,28.0,25.0,14.0,21.0,20.0,15.0,16.0,63.0,29.0,17.0,71.0,67.0,53.0,47.0,41.0,38.0,34.0,27.0,24.0,15.0,17.0,18.0,19.0,17.0,15.0,14.0,14.0,13.0,12.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,58.0,50.0,82.0,72.0,65.0,59.0,46.0,42.0,38.0,34.0,29.0,24.0,20.0,17.0,18.0,20.0,17.0,15.0,14.0,14.0,13.0,13.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.0,25.0,14.0,21.0,20.0,15.0,16.0,63.0,29.0,17.0,71.0,67.0,53.0,47.0,41.0,38.0,34.0,27.0,24.0,15.0,17.0,18.0,19.0,17.0,15.0,14.0,14.0,13.0,12.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,58.0,50.0,82.0,72.0,65.0,59.0,46.0,42.0,38.0,34.0,29.0,24.0,20.0,17.0,18.0,20.0,17.0,15.0,14.0,14.0,13.0,13.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,28.0,25.0,24.0,29.0,30.0,63.0,25.0,19.0,70.0,61.0,48.0,44.0,40.0,37.0,34.0,29.0,26.0,28.0,25.0,25.0,24.0,23.0,23.0,22.0,20.0,19.0,18.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,58.0,50.0,83.0,72.0,64.0,54.0,43.0,39.0,37.0,32.0,31.0,26.0,24.0,25.0,25.0,25.0,23.0,23.0,22.0,20.0,19.0,19.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.0,22.0,21.0,26.0,27.0,64.0,22.0,16.0,69.0,58.0,45.0,41.0,37.0,34.0,31.0,26.0,23.0,25.0,22.0,22.0,21.0,20.0,20.0,19.0,17.0,16.0,15.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,57.0,50.0,84.0,73.0,61.0,51.0,40.0,36.0,34.0,29.0,28.0,23.0,21.0,22.0,22.0,22.0,20.0,20.0,19.0,17.0,16.0,16.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.0,20.0,1.0,2.0,62.0,30.0,17.0,69.0,61.0,46.0,38.0,32.0,31.0,30.0,25.0,24.0,18.0,19.0,19.0,20.0,17.0,15.0,14.0,14.0,13.0,12.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,61.0,52.0,81.0,72.0,61.0,49.0,39.0,33.0,31.0,30.0,27.0,24.0,20.0,19.0,19.0,21.0,17.0,15.0,14.0,14.0,13.0,13.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,22.0,23.0,65.0,24.0,10.0,76.0,67.0,52.0,45.0,41.0,38.0,33.0,26.0,23.0,17.0,14.0,14.0,13.0,14.0,12.0,11.0,11.0,12.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,56.0,51.0,86.0,79.0,69.0,57.0,44.0,42.0,38.0,33.0,28.0,23.0,21.0,14.0,14.0,13.0,14.0,12.0,11.0,11.0,12.0,12.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.0,22.0,65.0,23.0,9.0,75.0,66.0,51.0,44.0,40.0,37.0,32.0,25.0,22.0,16.0,13.0,13.0,12.0,13.0,11.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,56.0,51.0,86.0,78.0,68.0,56.0,43.0,41.0,37.0,32.0,27.0,22.0,20.0,13.0,13.0,12.0,13.0,11.0,10.0,10.0,11.0,11.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,62.0,29.0,18.0,68.0,60.0,47.0,39.0,33.0,32.0,31.0,26.0,25.0,19.0,20.0,20.0,21.0,18.0,16.0,15.0,15.0,14.0,13.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,62.0,53.0,81.0,71.0,60.0,48.0,40.0,34.0,32.0,31.0,28.0,25.0,21.0,20.0,20.0,22.0,18.0,16.0,15.0,15.0,14.0,14.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,62.0,30.0,19.0,68.0,60.0,48.0,40.0,34.0,33.0,32.0,27.0,26.0,20.0,21.0,21.0,22.0,19.0,17.0,16.0,16.0,15.0,14.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,63.0,54.0,81.0,71.0,60.0,49.0,41.0,35.0,33.0,32.0,29.0,26.0,22.0,21.0,21.0,23.0,19.0,17.0,16.0,16.0,15.0,15.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,66.0,68.0,44.0,55.0,58.0,58.0,61.0,61.0,59.0,62.0,63.0,63.0,65.0,64.0,64.0,65.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,54.0,52.0,24.0,43.0,54.0,60.0,57.0,61.0,61.0,60.0,62.0,63.0,62.0,65.0,64.0,64.0,65.0,64.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
