simulated_k25_l1000_31,simulated_k25_l1000_48,SEQ_1,SEQ_2,SEQ_14,SEQ_13,MST_8,simulated_k25_l1000_26,SEQ_24,MST_9,MST_25,simulated_k25_l1000_46,SEQ_6,MST_13,simulated_k25_l1000_25,simulated_k25_l1000_23,MST_2,MST_26,SEQ_15,MST_6,SEQ_20,SEQ_7,SEQ_21,simulated_k25_l1000_40,MST_17,MST_1,simulated_k25_l1000_44,SEQ_8,simulated_k25_l1000_36,MST_22,MST_10,simulated_k25_l1000_24,SEQ_22,MST_21,simulated_k25_l1000_41,SEQ_12,simulated_k25_l1000_14,simulated_k25_l1000_42,SEQ_5,simulated_k25_l1000_8,SEQ_4,simulated_k25_l1000_34,simulated_k25_l1000_12,MST_11,SEQ_9,MST_5,simulated_k25_l1000_33,simulated_k25_l1000_35,MST_12,MST_24,SEQ_18,SEQ_25,MST_18,MST_20,SEQ_11,simulated_k25_l1000_43,SEQ_10,MST_14,simulated_k25_l1000_20,SEQ_17,simulated_k25_l1000_45,SEQ_19,MST_19,MST_23,SEQ_23,SEQ_16,simulated_k25_l1000_28,simulated_k25_l1000_47,MST_15,simulated_k25_l1000_32,MST_4,SEQ_0,SEQ_3,MST_7,MST_3,MST_16,simulated_k25_l1000_38
0.0,2.0,8.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,22.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,,0.0,3.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,11.0,0.0,0.0,8.0,0.0,3.0
,0.0,6.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,,,20.0,8.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,2.0,,,2.0,2.0,2.0,,,2.0,2.0,2.0,8.0,2.0,2.0,2.0,,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,,1.0,9.0,2.0,2.0,6.0,2.0,
,,8.0,3.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,,10.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,10.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,11.0,0.0,,,0.0,
,2.0,8.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,22.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,,0.0,3.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,3.0,11.0,0.0,0.0,8.0,0.0,3.0
,,5.0,0.0,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,,,,8.0,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,,3.0,3.0,,3.0,3.0,,3.0,,,3.0,,3.0,,,3.0,3.0,3.0,,,3.0,3.0,3.0,8.0,3.0,3.0,3.0,,3.0,3.0,,3.0,,3.0,3.0,3.0,3.0,3.0,,,3.0,,0.0,8.0,3.0,3.0,,3.0,
,,3.0,8.0,11.0,11.0,,,11.0,,,,11.0,,,,,,11.0,,11.0,11.0,11.0,,,,,11.0,,,,,11.0,,,11.0,,,11.0,,11.0,,,,11.0,,,,,,11.0,1.0,,,11.0,,11.0,,,11.0,,11.0,,,11.0,11.0,,,,,,0.0,11.0,,,,
,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,0.0,10.0,,,0.0,,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,0.0,,,,
,,8.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,10.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,11.0,0.0,0.0,,0.0,
,,0.0,5.0,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,,,,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,,,8.0,,8.0,8.0,,8.0,8.0,,8.0,,,8.0,,8.0,,,8.0,8.0,8.0,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,8.0,,8.0,,8.0,8.0,8.0,8.0,8.0,,,8.0,,5.0,3.0,8.0,8.0,0.0,8.0,
,,8.0,3.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,,10.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,10.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,11.0,0.0,,,0.0,
,1.0,7.0,2.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,,,20.0,7.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,,3.0,3.0,,3.0,3.0,5.0,3.0,,5.0,3.0,,3.0,,,3.0,3.0,3.0,,,3.0,3.0,3.0,7.0,3.0,3.0,3.0,4.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,1.0,3.0,,2.0,9.0,3.0,3.0,7.0,3.0,0.0
